SXCUS,SXCLC,SXPRIM,SVSEQ,SVCSA,SVNA1,SVNA2,SVNA3,SVNA4,SVNA5,SVPZIP,SVLNM,SVPHN,SVFAX,SVTLX,SVC08,SVSWB,SVCNAS,SVSWL,SVSWBR,SVXM,SVPCB,SVNSR,SVSPC,SVSPS,SVPMR,SVRMR,SVSMR,SVFXC,SVFXM,SVMMC,SVMMM,SVMMI,SVCDR,SVCCR,SVYTRI,SVYRET,SVYPLA,SVYOPI,SVYDRC,SVYNET,SVYRI1,SVYRI2,SVYRI3,SVYRI4,SVBTM,SVCTM,SVNRM
11260,,P,,Dear,92A/33 Bechtelar Points, Poblacion, Tabuk 1683 Negros Occidental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11261,,P,,"Dear Customer,",88A/61 Greenholt Lakes, Poblacion, Bacoor 4874 Misamis Occidental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11262,,P,,"Dear Customer,",30A Wisozk Prairie, Nasipit 0346 Negros Oriental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11263,,P,,Dear,72/31 Carroll Island, Pinukpuk 8763 Camiguin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11264,,P,,"Dear Customer,",40A Block Lodge, Poblacion, El Salvador 6778 Leyte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11265,,P,,"Dear Customer,",45/03 Stiedemann Stream Apt. 381, Poblacion, Cauayan 5985 Isabela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11266,,P,,Dear,40A/61 Crona Ramp, Tampakan 5557 Dinagat Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11267,,P,,Dear Mr/Mrs.,45 Jast Pass Apt. 372, Balbalan 0130 Lanao del Sur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11268,,P,,Dear Mr/Mrs.,20/95 Koepp Well Apt. 309, Poblacion, Legazpi 4942 Quezon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11269,,P,,"Dear Customer,",59A Armstrong Overpass, Poblacion, Ligao 9166 Benguet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11270,,P,,Dear,77 Gleason Springs Apt. 786, Tacloban City 2571 Zamboanga del Sur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11271,,P,,Dear Mr/Mrs.,96A/12 Wisoky Shores, Poblacion, San Pablo 6175 Sultan Kudarat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11272,,P,,Dear,17 Jacobs Plain, Santander 2579 Cotabato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11273,,P,,Dear Mr/Mrs.,13 Breitenberg Port Apt. 609, Roxas 6962 Siquijor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11274,,P,,Dear Mr/Mrs.,73A Pfannerstill Place Apt. 220, Poblacion, Digos 2930 Compostela Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11275,,P,,Dear,60A/56 Gusikowski Lake Suite 017, Poblacion, Cadiz 9305 Guimaras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11276,,P,,Dear,30/96 Murazik Cape Suite 252, Poblacion, Bais 6949 Surigao del Norte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11277,,P,,Dear,53 Fay Land, Poblacion, Lamitan 1376 Surigao del Norte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11278,,P,,"Dear Customer,",10 Greenholt Green, Poblacion, Tacurong 0782 Pangasinan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11279,,P,,"Dear Customer,",90A Bechtelar View Apt. 758, Ungkaya Pukan 0828 Bataan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11280,,P,,Dear Mr/Mrs.,26A McClure Prairie Apt. 044, Poblacion, Cotabato City 1724 Southern Leyte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11281,,P,,Dear,14A Cremin Mountain Apt. 650, Dao 9601 Negros Oriental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11282,,P,,"Dear Customer,",57/49 Casper Street, Kalibo 0355 Iloilo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11283,,P,,Dear,63A/57 Bartoletti Lodge Apt. 494, San Lorenzo Ruiz 7668 Cavite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11284,,P,,Dear Mr/Mrs.,01 Spinka Ford, Ormoc City 2400 Davao del Norte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11285,,P,,"Dear Customer,",27/19 O'Reilly Rue Apt. 588, Poblacion, Mandaluyong 5799 Cavite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11286,,P,,"Dear Customer,",63/24 Bernier Plain Apt. 489, Tuburan 9781 Northern Samar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11287,,P,,"Dear Customer,",03A/19 Torphy Orchard Suite 404, Poblacion, General Santos 8184 Lanao del Norte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11288,,P,,"Dear Customer,",16/19 Prohaska Unions, Gloria 4209 Misamis Occidental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11289,,P,,Dear Mr/Mrs.,89A/48 Smitham Land Apt. 548, Poblacion, Passi 8999 Mountain Province,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11290,,P,,Dear Mr/Mrs.,35 Walker Light Apt. 784, San Jose 9961 Misamis Occidental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11291,,P,,Dear,60A Mayer Meadow Suite 996, Poblacion, Pagadian 1834 Ifugao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11292,,P,,Dear,66 Waters Parks, Gregorio Del Pilar 0879 Sulu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11293,,P,,Dear Mr/Mrs.,81/36 Hamill Harbors, Poblacion, Muñoz 3998 Ilocos Sur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11294,,P,,Dear Mr/Mrs.,91A Oberbrunner Valleys Suite 104, Alicia 7547 Mountain Province,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11295,,P,,Dear Mr/Mrs.,51/96 Franecki Causeway Apt. 873, Tobias Fornier 9006 Mountain Province,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11296,,P,,"Dear Customer,",20/09 Schmidt Camp Apt. 165, Poblacion, El Salvador 0841 Maguindanao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11297,,P,,Dear,45/93 Morissette Islands, Calubian 1565 Sultan Kudarat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11298,,P,,Dear,03 Glover Loaf, Isulan 5976 Zamboanga del Norte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11299,,P,,"Dear Customer,",83A Hoeger Fall, Poblacion, Candon 9574 Northern Samar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11300,,P,,Dear Mr/Mrs.,33/48 Jacobi Parkways, Burgos 2155 Southern Leyte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11301,,P,,Dear,46A/03 Pagac Highway, Carigara 1521 Bataan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11302,,P,,Dear,48/27 Auer Glen, Basilisa 6270 Masbate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11303,,P,,Dear,57A Sporer Ports, Carrascal 3650 Metro Manila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11304,,P,,Dear Mr/Mrs.,23A/25 Feest Corners, Poblacion, San Carlos 1660 Guimaras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11305,,P,,Dear Mr/Mrs.,00A Funk Islands Apt. 276, South Upi 5501 Camarines Norte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11306,,P,,Dear,24A/43 Hermiston Street Suite 471, Saguday 3077 Aklan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11307,,P,,Dear,56/63 Schinner Station Suite 116, Poblacion, Gapan 3896 Misamis Oriental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11308,,P,,Dear,85/12 Runte Bypass, Cebu City 9570 Cotabato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11309,,P,,"Dear Customer,",84/89 Grimes Trail, Poblacion, Tacurong 5632 Negros Occidental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11310,,P,,Dear Mr/Mrs.,32A Langworth Park Suite 785, Poblacion, Dasmariñas 9755 Biliran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11311,,P,,Dear,88A/13 Waelchi Cliffs, Poblacion, Antipolo 6610 Camiguin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11312,,P,,"Dear Customer,",98 Bartoletti Bypass, San Enrique 7614 Dinagat Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11313,,P,,Dear,63/22 Parisian Dale, Poblacion, Samal 6681 Mountain Province,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11314,,P,,"Dear Customer,",70A/27 Shanahan Court, Piddig 6683 Quezon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11315,,P,,"Dear Customer,",78A Jacobson Summit, Marantao 5070 Zamboanga del Norte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11316,,P,,"Dear Customer,",15A Hackett Tunnel Suite 498, Calabanga 3831 Cebu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11317,,P,,Dear,48A/15 Emard Villages, Poblacion, Cabanatuan 1528 Cavite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11318,,P,,Dear Mr/Mrs.,71A Rempel Glens Suite 158, Sikatuna 3536 Cotabato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11319,,P,,"Dear Customer,",91/26 Krajcik Island Apt. 167, Boac 2966 Romblon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11320,,P,,Dear Mr/Mrs.,96 Reinger Ports Apt. 005, Patnanungan 0987 Pangasinan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11321,,P,,"Dear Customer,",37 Kuhn Mount Suite 549, Balabagan 0970 Oriental Mindoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11322,,P,,Dear Mr/Mrs.,58A/65 Purdy Tunnel Apt. 075, Himamaylan City 5167 South Cotabato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11323,,P,,Dear Mr/Mrs.,32/15 Wiegand Green Suite 653, Poblacion, General Santos 3342 Lanao del Sur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11324,,P,,Dear Mr/Mrs.,75A Larkin Springs Apt. 482, Santa Maria 5959 Lanao del Norte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11325,,P,,Dear Mr/Mrs.,21/67 Rowe Crossing Suite 675, Pakil 3583 Romblon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11326,,P,,Dear Mr/Mrs.,12/25 Dare Junctions Suite 433, Abuyog 4815 Palawan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11327,,P,,"Dear Customer,",14A/06 Wyman Tunnel, Camiling 1568 Quezon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11328,,P,,Dear Mr/Mrs.,77A/57 Stokes Squares, Poblacion, Cabadbaran 7389 Antique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11329,,P,,Dear,17/17 Windler Hills, Poblacion, Valenzuela 2791 Sultan Kudarat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11330,,P,,"Dear Customer,",33A/29 Hudson Terrace Suite 676, Poblacion, Candon 5459 South Cotabato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11331,,P,,"Dear Customer,",05/25 Pagac Rue, Poblacion, Dipolog 1106 Siquijor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11332,,P,,"Dear Customer,",99/06 Stoltenberg Flats, Isulan 2282 Batanes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11333,,P,,Dear Mr/Mrs.,95A Batz Harbor, La Libertad 9182 Ilocos Sur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11334,,P,,"Dear Customer,",34 Stehr Station, Padre Burgos 1457 Camarines Norte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11335,,P,,Dear Mr/Mrs.,56 Hansen Junctions Suite 760, Poblacion, Calamba 8678 Capiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11336,,P,,Dear,06/74 Lind Port Suite 897, Sibunag 7239 Iloilo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11337,,P,,"Dear Customer,",68A Reichel Spur Suite 244, Linamon 4220 Cebu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11338,,P,,Dear Mr/Mrs.,13A Hoppe Land Suite 387, Poblacion, Passi 0544 Tawi-Tawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11339,,P,,Dear Mr/Mrs.,53A Nienow Green, Poblacion, Palayan 6833 Agusan del Norte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11340,,P,,"Dear Customer,",47A/91 Ebert Branch, Poblacion, Koronadal 2135 Laguna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11341,,P,,Dear Mr/Mrs.,96A/75 Schulist Fords, Olongapo City 2277 Cotabato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11342,,P,,Dear,90 Murphy Walks, Poblacion, Angeles 6284 Kalinga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11343,,P,,"Dear Customer,",89/01 Gutkowski Plains, Laurel 2544 Metro Manila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11344,,P,,Dear Mr/Mrs.,27A/70 Feeney Mount Suite 297, Poblacion, Koronadal 0038 South Cotabato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11345,,P,,"Dear Customer,",29/96 Runte Isle Suite 151, Poblacion, Batac 4144 Metro Manila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11346,,P,,Dear Mr/Mrs.,21A/15 Beer Cove Apt. 371, Santo Domingo 8704 Nueva Ecija,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11347,,P,,"Dear Customer,",29 Morissette Burgs Apt. 199, Poblacion, Makati 8391 Southern Leyte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11348,,P,,Dear Mr/Mrs.,17A/56 Nader Parkways Suite 743, Poblacion, Panabo 5279 Nueva Vizcaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11349,,P,,Dear,91/10 Ryan Road Apt. 271, San Antonio 7005 Antique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11350,,P,,Dear Mr/Mrs.,26A Rutherford Skyway Apt. 553, Poblacion, San Juan 5854 Aklan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11351,,P,,"Dear Customer,",72 Cummings Ports, Danglas 6529 Bataan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352,,P,,"Dear Customer,",39A Bednar Springs Apt. 057, San Roque 4059 Batanes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11353,,P,,Dear Mr/Mrs.,56 Hartmann Grove, Bayog 4971 Iloilo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11354,,P,,Dear Mr/Mrs.,81 Crooks Mountains Suite 452, Unisan 7222 Apayao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11355,,P,,Dear Mr/Mrs.,09A Kilback Inlet Apt. 034, Opol 2035 Samar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11356,,P,,Dear Mr/Mrs.,87A/17 Kuhn Hill, Poblacion, Santa Rosa 8499 Zamboanga del Norte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11357,,P,,Dear,78 Bernhard Forges Suite 035, Poblacion, Kabankalan 5005 Abra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11358,,P,,Dear,22/59 McClure Mews Apt. 322, Poblacion, Dagupan 9335 Zambales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11359,,P,,"Dear Customer,",33/11 Towne Neck Suite 205, Poblacion, Ligao 8420 Southern Leyte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11360,,P,,Dear Mr/Mrs.,08A/33 Ziemann Plaza Apt. 823, Poblacion, Cabadbaran 3479 Laguna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11361,,P,,Dear,01/79 Kuvalis Bypass, San Policarpo 1779 Basilan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11362,,P,,"Dear Customer,",22/69 Kling Lodge Apt. 803, Poblacion, Guihulngan 5929 Cagayan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11363,,P,,"Dear Customer,",41/77 Brekke Islands, Lidlidda 6304 Surigao del Norte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11364,,P,,Dear,05 Kuhn Flat Apt. 848, General Mamerto Natividad 8504 Sultan Kudarat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11365,,P,,"Dear Customer,",47A/07 Daugherty Vista, Poblacion, San Jose del Monte 9808 Capiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11366,,P,,Dear,36A/90 Kuvalis Run, Poblacion, Tabuk 2929 Zambales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11367,,P,,Dear Mr/Mrs.,41A/79 King Point, Poblacion, Batac 7477 Siquijor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368,,P,,Dear Mr/Mrs.,61A Hirthe Fork Suite 418, Isabela 2647 Benguet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369,,P,,Dear Mr/Mrs.,24/27 Lehner Manor Suite 610, Poblacion, Roxas 0822 Albay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11370,,P,,"Dear Customer,",97A/37 Boyle Circles Apt. 923, Poblacion, Tangub 2915 Isabela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11371,,P,,Dear,13/68 Kub Alley, Poblacion, San Carlos 3116 Lanao del Sur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11372,,P,,Dear Mr/Mrs.,52 Jenkins Crossroad Suite 514, Poblacion, Vigan 4418 Palawan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11373,,P,,Dear,46A/72 Considine Avenue Suite 921, Poblacion, San Fernando 4728 Cebu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11374,,P,,"Dear Customer,",12/51 Powlowski Meadows, Poblacion, Bais 1892 Cagayan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11375,,P,,"Dear Customer,",51/75 Romaguera Track Suite 181, Malabang 3101 Quezon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11376,,P,,Dear,03A Schimmel Circles Apt. 138, Balanga City 2025 Misamis Occidental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11377,,P,,Dear,63A/54 Hackett Crescent, Poblacion, Borongan 3540 Negros Occidental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11378,,P,,Dear,74 Predovic Neck, Mercedes 7823 Ilocos Norte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11379,,P,,"Dear Customer,",66A Lesch Track Apt. 367, San Francisco 6734 Pampanga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11380,,P,,Dear,24A Langosh Shoal, Poblacion, Parañaque 4402 Surigao del Norte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11381,,P,,Dear,55 Weber Tunnel, Poblacion, Balanga 7512 Ifugao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11382,,P,,"Dear Customer,",91A Hansen Valley Apt. 079, Poblacion, Puerto Princesa 2566 Aurora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11383,,P,,"Dear Customer,",44A/70 Larkin Pine, Kinoguitan 8212 Zamboanga del Norte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11384,,P,,"Dear Customer,",05/62 Brekke Crossroad Apt. 775, Poblacion, Ormoc 1014 Apayao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11385,,P,,Dear,09/77 Parker Parkways, Poblacion, Cavite City 2139 Benguet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11386,,P,,"Dear Customer,",97 Leuschke Fork Suite 595, Daanbantayan 2550 Cotabato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11387,,P,,"Dear Customer,",42A/73 Abshire Throughway, Poblacion, Toledo 0529 Rizal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11388,,P,,Dear Mr/Mrs.,69A Wilderman Throughway Suite 035, Datu Hoffer Ampatuan 4620 Metro Manila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11389,,P,,Dear,76A/44 Kessler Park Suite 438, Poblacion, Tacloban 6261 Misamis Occidental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11390,,P,,"Dear Customer,",40 Pagac Mountain Suite 434, Hinabangan 3127 Zambales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391,,P,,Dear Mr/Mrs.,96A/45 Emard Mission Apt. 631, Dagohoy 0515 Romblon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11392,,P,,Dear,93/70 Stehr Fort, Poblacion, Dipolog 9255 Isabela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11393,,P,,Dear,79A/56 Haag Ramp Suite 775, Poblacion, Angeles 4738 Batangas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11394,,P,,Dear Mr/Mrs.,96A Rodriguez Expressway, Poblacion, Tangub 9700 Palawan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11395,,P,,Dear Mr/Mrs.,00 Donnelly Forge, Poblacion, Cauayan 9691 Batangas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396,,P,,Dear,20/71 Braun Haven Suite 634, Oslob 3336 Abra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11397,,P,,Dear Mr/Mrs.,00A Wiza Club, Poblacion, Muntinlupa 7803 Lanao del Sur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11398,,P,,"Dear Customer,",10A/50 McCullough Manors, Alaminos City 8611 Pangasinan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11399,,P,,Dear,74A/74 Von Canyon, Poblacion, Mandaluyong 2143 Lanao del Norte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11400,,P,,"Dear Customer,",79A/50 Douglas Loop Suite 838, Gingoog City 3597 Zambales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11401,,P,,"Dear Customer,",64 Casper Oval Suite 656, Tuburan 9915 Quirino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11402,,P,,"Dear Customer,",35A Kuhic Tunnel, Poblacion, Muñoz 2060 Agusan del Norte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11403,,P,,Dear Mr/Mrs.,76/79 Kohler Square, Gitagum 8603 Negros Oriental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11404,,P,,"Dear Customer,",68/39 Bogan Lodge, Poblacion, Ilagan 2721 Nueva Vizcaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11405,,P,,"Dear Customer,",54 Zieme Wall, Milaor 0446 Zamboanga del Sur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406,,P,,Dear,57A Torp Ridges, Poblacion, Cabanatuan 8855 Southern Leyte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407,,P,,Dear Mr/Mrs.,55A/04 Eichmann Row, Poblacion, Mati 4506 Sarangani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11408,,P,,"Dear Customer,",35 O'Kon Mill Apt. 454, Poblacion, Ilagan 2120 Mountain Province,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11409,,P,,Dear,09A/04 Thiel Keys Apt. 568, Panganiban 6575 Guimaras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11410,,P,,"Dear Customer,",99 Monahan Shoal, San Jose 8611 Camarines Sur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11313,,O,,Dear Mr/Mrs.,88 Berge Landing, Poblacion, Tacurong 7033 Pangasinan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
